horizon,update_regime,round,scenario,estimate,ci_low,ci_high,relative_ratio_percent,n
24,event_online,16,strong_premium_penalty,0.08530978426525593,0.06189535924303333,0.10533767766177118,8.905438636044167,50
24,event_online,16,zero,0.0,0.0,0.0,0.0,50
24,event_online,17,ai_appreciation,-0.02393441207655469,-0.03963367544842515,-0.009259012788851655,-2.365025558977135,50
24,event_online,17,moderate_asymmetric,0.04766309915225207,0.024468217018527156,0.06507253157446317,4.8817248376152405,50
24,event_online,17,strong_premium_penalty,0.09015075542325068,0.06633634501720605,0.11092662835504598,9.433924884684279,50
24,event_online,17,zero,0.0,0.0,0.0,0.0,50
24,event_online,18,ai_appreciation,-0.02522460668225758,-0.04019326599594598,-0.00903705283409874,-2.4909124495726633,50
24,event_online,18,moderate_asymmetric,0.04980889413146473,0.025592587562925897,0.06959595167537323,5.107021149583621,50
24,event_online,18,strong_premium_penalty,0.09489603049433132,0.07308225100998093,0.11659676872174173,9.954453008179346,50
24,event_online,18,zero,0.0,0.0,0.0,0.0,50
24,event_online,19,ai_appreciation,-0.026379452875073227,-0.042212289599875656,-0.009718080197098519,-2.603455450659103,50
24,event_online,19,moderate_asymmetric,0.05196678296497177,0.02823102801579113,0.07295271803599605,5.334075307555372,50
24,event_online,19,strong_premium_penalty,0.09943247661664484,0.07599636332256536,0.12172360916563069,10.454388568163816,50
24,event_online,19,zero,0.0,0.0,0.0,0.0,50
24,event_online,20,ai_appreciation,-0.027460382302979768,-0.04370739019779568,-0.01144812593339347,-2.7086773628630345,50
24,event_online,20,moderate_asymmetric,0.054029622926670656,0.03002850577019528,0.07653528807804548,5.5515869161159515,50
24,event_online,20,strong_premium_penalty,0.10389492625506729,0.08207186517278828,0.1263653036654492,10.94838711654584,50
24,event_online,20,zero,0.0,0.0,0.0,0.0,50
24,event_online,21,ai_appreciation,-0.028315679170455663,-0.04445231900962496,-0.011469558092975892,-2.791854750596996,50
24,event_online,21,moderate_asymmetric,0.05649456224424911,0.029574329011817495,0.07963430234843183,5.812086098178521,50
24,event_online,21,strong_premium_penalty,0.1083119275228995,0.0828591485200289,0.13108541372109128,11.439530174345645,50
24,event_online,21,zero,0.0,0.0,0.0,0.0,50
24,event_online,22,ai_appreciation,-0.029363600748949503,-0.04665587603106045,-0.01249476932620418,-2.8936679081897125,50
24,event_online,22,moderate_asymmetric,0.05863365497820431,0.03160429501919277,0.08431950084115615,6.0386702185397825,50
24,event_online,22,strong_premium_penalty,0.11257293607440061,0.08893571764047513,0.13714585741986218,11.915388062679087,50
24,event_online,22,zero,0.0,0.0,0.0,0.0,50
24,event_online,23,ai_appreciation,-0.03014453440534317,-0.0471828375774474,-0.012990348152499406,-2.9694719083691634,50
24,event_online,23,moderate_asymmetric,0.06074210383332345,0.0335441678239852,0.08693504048841189,6.26248319755567,50
24,event_online,23,strong_premium_penalty,0.1166257283895808,0.09285228202113735,0.14101923563649948,12.369878242435824,50
24,event_online,23,zero,0.0,0.0,0.0,0.0,50
24,event_online,24,ai_appreciation,-0.0308785072580165,-0.04944880456552052,-0.012605995705925022,-3.040663552305977,50
24,event_online,24,moderate_asymmetric,0.06263043361902751,0.03424114851755478,0.08886598243674407,6.463331383804884,50
24,event_online,24,strong_premium_penalty,0.12059261084638394,0.0972184507631972,0.14429243677780929,12.816521646346505,50
24,event_online,24,zero,0.0,0.0,0.0,0.0,50
